names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,Avg,Average_crimes,District
"Taikos pr., 2 rooms flat for rent",450.0,8.6,52.18,2,1987.0,Brick,Fully equipped,Central,nan,23,4.5, Dainava
"Veiverių g., 1 room flat for rent",340.0,8.5,40.0,1,1990.0,Brick,Fully equipped,"Electric, solid fuel",nan,23,2.0, Aleksotas
"Nemuno g., 2 rooms flat for rent",590.0,10.0,59.0,2,1940.0,Brick,Fully equipped,"Electric, gas",nan,23,11.3, Senamiestis
"Laisvės al., 2 rooms flat for rent",550.0,12.2,45.0,2,1900.0,Brick,Fully equipped,Central,28.35,23,24.7, Centras
"Kęstučio g., 1 room flat for rent",240.0,15.0,16.0,1,1959.0,Brick,Fully equipped,Central,11.36,23,27.2, Centras
"Kęstučio g., 4 rooms flat for rent",850.0,10.9,78.0,4,1943.0,Brick,Fully equipped,Gas,32.76,23,22.0, Centras
"J. Bakanausko g., 2 rooms flat for rent",650.0,12.0,54.0,2,2023.0,Brick,Fully equipped,"Electric, gas, solid fuel, sun energy",nan,23,0.8, Freda
"Kalniečių g., 1 room flat for rent",280.0,9.7,29.0,1,1986.0,Brick,Fully equipped,Central,34.80,23,3.8, Žaliakalnis
"Kęstučio g., 3 rooms flat for rent",898.0,12.8,70.0,3,,Brick,Fully equipped,Gas,nan,23,26.6, Centras
"Žuvinto g., 2 rooms flat for rent",690.0,11.5,60.0,2,2008.0,Brick,Fully equipped,Central thermostat,36.00,23,2.8, Žaliakalnis
"Kranto 7-oji g., 2 rooms flat for rent",650.0,17.1,38.0,2,2022.0,Monolithic,Fully equipped,Gas,nan,23,5.0, Žemieji Šančiai
"Molėtų g., 1 room flat for rent",320.0,7.0,46.0,1,,Brick,Fully equipped,Gas,nan,23,5.6, Žaliakalnis
"M. Daukšos g., 3 rooms flat for rent",360.0,6.1,59.22,3,1956.0,Block house,Fully equipped,"Central, liquid",87.65,23,16.3, Senamiestis
"Partizanų g., 1 room flat for rent",300.0,9.7,31.0,1,1968.0,Block house,Fully equipped,Central,nan,23,14.1, Dainava
"P. Vileišio g., 2 rooms flat for rent",490.0,9.6,51.0,2,1970.0,Brick,Fully equipped,Central,48.45,23,9.7, Žaliakalnis
"Šarkuvos g., 1 room flat for rent",450.0,11.3,40.0,1,1988.0,Block house,Fully equipped,Central,45.20,23,11.2, Šilainiai
"V. Landsbergio-Žemkalnio g., 1 room flat for rent",420.0,10.8,39.0,1,1999.0,Brick,Fully equipped,Central,44.85,23,12.0, Kalniečiai
"A. Mackevičiaus g., 2 rooms flat for rent",298.0,9.3,32.0,2,1939.0,Carcass house,Fully equipped,Gas,nan,23,14.6, Senamiestis
"V. Krėvės pr., 1 room flat for rent",450.0,13.2,34.0,1,1987.0,Block house,Fully equipped,Central,35.70,23,19.8, Dainava
"Pramonės pr., 1 room flat for rent",330.0,18.3,18.0,1,1970.0,Block house,Fully equipped,Central,8.28,23,23.0, Dainava
"Kalniečių g., 2 rooms flat for rent",890.0,11.9,75.0,2,,Brick,Fully equipped,"Gas, other",nan,23,3.2, Žaliakalnis
"Kovo 11-osios g., 2 rooms flat for rent",530.0,12.0,44.0,2,1980.0,Block house,Fully equipped,Central,32.56,23,19.0, Dainava
"Maironio g., 2 rooms flat for rent",850.0,14.2,60.0,2,1941.0,Brick,Fully equipped,Central,94.80,23,19.3, Centras
"Jonavos g., 3 rooms flat for rent",1100.0,14.9,74.0,3,,Other,Fully equipped,Gas,nan,23,9.6, Senamiestis
