names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,crimes
"Kaunas, Dainava, Taikos pr., 2 rooms flat for rent",450 €,"(8,6 €/m²)","52,18 m²",2,1987,Brick,Fully equipped,Central,,"['august', '8', 'september', '2', 'october', '1', 'november', '4', 'december', '8', 'january', '2', 'february', '6', 'march', '5', 'april', '4', 'may', '2', 'june', '0', 'july', '6', 'august', '5', 'september', '2', 'october', '13', 'november', '9', 'december', '6', 'january', '5', 'february', '3', 'march', '3', 'april', '3', 'may', '2', 'june', '5', 'july', '7']"
"Kaunas, Aleksotas, Veiverių g., 1 room flat for rent",340 €,"(8,5 €/m²)",40 m²,1,1990,Brick,Fully equipped,"Electric, solid fuel",,"['august', '2', 'september', '0', 'october', '2', 'november', '0', 'december', '3', 'january', '1', 'february', '0', 'march', '1', 'april', '1', 'may', '1', 'june', '3', 'july', '6', 'august', '1', 'september', '3', 'october', '0', 'november', '2', 'december', '2', 'january', '5', 'february', '3', 'march', '2', 'april', '1', 'may', '6', 'june', '2', 'july', '0']"
"Kaunas, Senamiestis, Nemuno g., 2 rooms flat for rent",590 €,"(10,0 €/m²)",59 m²,2,1940,Brick,Fully equipped,"Electric, gas",,"['august', '2', 'september', '6', 'october', '5', 'november', '6', 'december', '13', 'january', '8', 'february', '18', 'march', '21', 'april', '10', 'may', '17', 'june', '7', 'july', '9', 'august', '8', 'september', '13', 'october', '19', 'november', '20', 'december', '3', 'january', '11', 'february', '10', 'march', '8', 'april', '20', 'may', '20', 'june', '5', 'july', '10']"
"Kaunas, Centras, Laisvės al., 2 rooms flat for rent",550 €,"(12,2 €/m²)",45 m²,2,1900,Brick,Fully equipped,Central,"28,35 €/month~ 0,63 €/m²","['2024-10', '0.19', '2024-11', '0.6', '2024-12', '0.82', '2025-01', '0.9', '2025-02', '1.01', '2025-03', '0.67', '2025-04', '0.25', 'august', '37', 'september', '36', 'october', '22', 'november', '10', 'december', '27', 'january', '12', 'february', '18', 'march', '32', 'april', '31', 'may', '52', 'june', '41', 'july', '21', 'august', '18', 'september', '35', 'october', '17', 'november', '17', 'december', '17', 'january', '30', 'february', '18', 'march', '17', 'april', '21', 'may', '25', 'june', '15', 'july', '18']"
"Kaunas, Centras, Kęstučio g., 1 room flat for rent",240 €,"(15,0 €/m²)",16 m²,1,1959,Brick,Fully equipped,Central,"11,36 €/month~ 0,71 €/m²","['2024-10', '0.37', '2024-11', '0.71', '2024-12', '0.87', '2025-01', '0.93', '2025-02', '1.07', '2025-03', '0.73', '2025-04', '0.29', 'august', '45', 'september', '44', 'october', '30', 'november', '11', 'december', '21', 'january', '16', 'february', '18', 'march', '30', 'april', '36', 'may', '47', 'june', '41', 'july', '19', 'august', '24', 'september', '42', 'october', '18', 'november', '22', 'december', '19', 'january', '28', 'february', '21', 'march', '23', 'april', '28', 'may', '23', 'june', '20', 'july', '23']"
"Kaunas, Centras, Kęstučio g., 4 rooms flat for rent",850 €,"(10,9 €/m²)",78 m²,4,1943,Brick,Fully equipped,Gas,"32,76 €/month~ 0,42 €/m²","['2024-10', '0.19', '2024-11', '0.45', '2024-12', '0.59', '2025-01', '0.6', '2025-02', '0.61', '2025-03', '0.38', '2025-04', '0.13', 'august', '51', 'september', '32', 'october', '56', 'november', '14', 'december', '16', 'january', '12', 'february', '11', 'march', '15', 'april', '21', 'may', '22', 'june', '13', 'july', '18', 'august', '15', 'september', '31', 'october', '18', 'november', '30', 'december', '19', 'january', '18', 'february', '10', 'march', '23', 'april', '17', 'may', '22', 'june', '21', 'july', '19']"
"Kaunas, Freda, J. Bakanausko g., 2 rooms flat for rent",650 €,"(12,0 €/m²)",54 m²,2,2023,Brick,Fully equipped,"Electric, gas, solid fuel, sun energy",,"['august', '1', 'september', '0', 'october', '4', 'november', '0', 'december', '2', 'january', '3', 'february', '1', 'march', '0', 'april', '0', 'may', '0', 'june', '0', 'july', '0', 'august', '0', 'september', '1', 'october', '0', 'november', '2', 'december', '0', 'january', '1', 'february', '0', 'march', '0', 'april', '3', 'may', '0', 'june', '0', 'july', '3']"
"Kaunas, Žaliakalnis, Kalniečių g., 1 room flat for rent",280 €,"(9,7 €/m²)",29 m²,1,1986,Brick,Fully equipped,Central,"34,80 €/month~ 1,20 €/m²","['2024-10', '0.45', '2024-11', '1.22', '2024-12', '1.54', '2025-01', '1.59', '2025-02', '1.86', '2025-03', '1.2', '2025-04', '0.51', 'august', '2', 'september', '2', 'october', '2', 'november', '3', 'december', '1', 'january', '2', 'february', '5', 'march', '1', 'april', '4', 'may', '3', 'june', '1', 'july', '6', 'august', '2', 'september', '2', 'october', '7', 'november', '5', 'december', '4', 'january', '12', 'february', '4', 'march', '2', 'april', '5', 'may', '5', 'june', '8', 'july', '3']"
"Kaunas, Centras, Kęstučio g., 3 rooms flat for rent",898 €,"(12,8 €/m²)",70 m²,3,,Brick,Fully equipped,Gas,,"['august', '45', 'september', '39', 'october', '30', 'november', '11', 'december', '20', 'january', '15', 'february', '18', 'march', '30', 'april', '36', 'may', '46', 'june', '40', 'july', '19', 'august', '22', 'september', '42', 'october', '18', 'november', '20', 'december', '19', 'january', '26', 'february', '21', 'march', '23', 'april', '28', 'may', '23', 'june', '20', 'july', '23']"
"Kaunas, Žaliakalnis, Žuvinto g., 2 rooms flat for rent",690 €,"(11,5 €/m²)",60 m²,2,2008,Brick,Fully equipped,Central thermostat,"36,00 €/month~ 0,60 €/m²","['2024-10', '0.16', '2024-11', '0.54', '2024-12', '1.01', '2025-01', '0.95', '2025-02', '1.05', '2025-03', '0.38', '2025-04', '0.14', 'august', '2', 'september', '2', 'october', '7', 'november', '2', 'december', '2', 'january', '2', 'february', '0', 'march', '3', 'april', '6', 'may', '1', 'june', '5', 'july', '5', 'august', '0', 'september', '9', 'october', '2', 'november', '6', 'december', '6', 'january', '0', 'february', '2', 'march', '1', 'april', '1', 'may', '0', 'june', '1', 'july', '1']"
