District,Average_crimes,Rank_by_crimes,Average_price,under_300_count,from_300_to_600,from_600_to_900,above_900_count,Rank_by_prices,Modern,Old,Average_heating_price,Heating_prices_rank,Average_area,Rank_by_area,Average_rooms_number,Average_rooms_number_ranked,Ranked_by_CC_distance
Aleksotas,1.5,1.0,674.3,1,11,13,3,10.0,13,11,37.4,4.0,44.6,7.0,2.0,6.0,5.0
Panemunė,3.0,2.0,480.6,1,8,2,0,4.0,2,8,49.7,8.0,43.4,8.0,2.0,6.0,8.0
Šančiai,5.1,3.0,558.0,3,9,6,2,8.0,10,5,31.3,2.0,47.4,4.0,1.8,4.0,6.0
Petrašiūnai,5.8,4.0,319.8,9,8,0,0,1.0,0,16,28.5,1.0,33.2,11.0,1.588235294117647,2.0,9.0
Šilainiai,7.2,5.0,498.3,3,58,11,0,5.0,17,49,48.2,7.0,50.0,3.0,2.0555555555555554,7.0,7.0
Vilijampolė,8.8,6.0,631.6,4,28,10,5,9.0,16,25,34.3,3.0,51.3,2.0,2.0851063829787235,8.0,3.0
Žaliakalnis,8.9,7.0,548.4,17,57,31,5,7.0,34,50,114.6,11.0,45.1,6.0,1.8818181818181818,5.0,2.0
Gričiupis,10.6,8.0,508.1,1,13,3,0,6.0,2,12,39.7,5.0,45.4,5.0,2.0,6.0,4.0
Eiguliai,11.5,9.0,410.2,14,37,3,1,2.0,3,49,46.0,6.0,41.7,9.0,1.7454545454545454,3.0,10.0
Dainava,14.3,10.0,442.1,21,109,15,0,3.0,23,115,74.7,9.0,38.1,10.0,1.5793103448275863,1.0,11.0
Centras,20.7,11.0,698.0,10,45,56,19,11.0,27,63,77.2,10.0,62.5,1.0,2.1769230769230767,9.0,1.0
